Abréviation;Définition
ERT;Ermont EAUBONNE
ESA;Elbeuf ST AUBIN
ESD;Estrees ST DENIS
ESE;Espere CAILLAC
ES;Esternay
ESF;Einsiedlerhof
ESI;Etissac
ESL;Estavel
ESN;Estressin
ESQ;Esquelbecq
ESR;L'ESCARENE
ESX;Estivaux
ETA;Etaples - LE TOUQUET
ET;Etain
ETG;Etang
ETL;Etival CLAIREFONTAINE
ETP;Etampes
ETR;Etrepagny
ETY;Etrechy
EU;Eu
EUR;Ep. BASE TRAVAUX D'EURRE
EUV;Leuven
EVA;Evaux LES BAINS
EVC;Evry COURCOURONNES
EVE;Eurville
EVI;Evian LES BAINS
EVM;Les POULAGERES (EP VILLE MARS)
EVN;Evron
EVS;Evires
EVX;Evreux EMBRANCHEMENT
EXC;Exideuil SUR VIENNE
EXD;Excideuil DORDOGNE
EY;Esbly
EYG;Eygurande MERLINES
EYM;Eymoutiers VASSIVIERE
EYO;Epinay SUR ORGE
EYS;Epinay SUR SEINE
EYV;Etigny VERON
EYZ;Les EYZIES
EZE;Eauze
EZZ;Eze
FAE;Fontaines MERCUREY
FA;Facture
FAF;Fontenay LE FLEURY
FAM;Flavy LE MARTEL
FAN;Fains LA FOLIE
FAQ;Faulquemont
FAR;Fargniers
FAS;Fere CHAMPENOISE
FAU;Farbus
FB;Forbach
FBL;Faubourg D ORLEANS
FBS;Feuquieres BROQUIERS
FCY;Foecy
FDK;Darmstadt KRANICHTEIN
FEB;Froncles BUXIERES
FEC;Fecamp
FEF;Feuquieres FRESSENNEVILLE
FEG;Fresnoy LE GRAND
FER;La FERE
FET;Fere EN TARDENOIS
FEU;Feurs
FEX;Fenouillet ST ALBAN
FEY;Feyzin
FEZ;Flez CUZY TANNAY
FFS;Essen
FFY;Ferrieres FONTENAY
FG;Fribourg
FGX;Forges LES EAUX
FHM;Fegersheim-LIPSHEIM
FHS;Calais-FRETHUN
FI;Fismes
FIG;Figeac
FIR;Florence
FIY;Fouilloy
FK;Francfort
FLA;Flamboin GOUAIX
FLE;Fleurance
FL;Flers
FLG;Florange
FLO;La FALOISE
FLT;Fourchambault
FLU;Fleurus
FLV;Fleurville PONT DE VAUX
FMB;Mainz BISCHOFSHEIM
FMI;Fourmies
FMP;Faremoutiers POMMEUSE
FMR;Formerie
FMS;Fons ST MAMERT
FNY;Firminy
FOC;Fos COUSSOUL
FOE;Forgevieille
FOG;Fos GRAVELEAU
FOI;Franois
FOL;Folligny
FON;Fontainebleau AVON
FOQ;Golfe DE FOS
FOR;Forest
FOS;Fos SUR MER
FOX;Frontenex
FOY;Flogny
FQE;Fouquereuil
FRA;Frasne
FRE;Freteval MOREE
FR;Frouard
FRI;Fretin NORD
FRJ;Frejus
FRK;Frick
FRM;Font ROMEU ODEILLO (GARE) VIA;
FRN;Frontignan
FRO;Fromental
FRS;Fours
FRT;Frejus ST RAPHAEL
FRU;Fraisse UNIEUX
FRY;Freyming MERLEBACH
FSN;La FRESNAIS
FSV;Freinville SEVRAN
FTA;Foucart ALVIMARE
FTB;Fontpedrouse-ST-THOMAS
FTC;Fort L ECLUSE COLLONGES
FTU;Futuroscope
FU;Fumel
FUG;Foug
FUY;Fumay
FVR;Flere LA RIVIERE
FVS;La FERTE CHEVRESIS
FWR;Farschviller
FX;Foix
FYP;Fresnoy LE LUAT PRCI 14
FYS;La FRAYERE
FZC;Fontaines OZILLAC
GAA;Gaillon AUBEVOYE
GAD;Grand-CONTOUR
GA;Gargan
GAG;Gragnague
GAH;Gimont CAHUZAC
GAI;Gaillac
GAJ;Garges
GAN;Gannat
GAO;Gardonne
GAQ;Garancieres LA QUEUE
GAR;Grandvilliers
GAW;Grande ARCHE DE LA DEFENSE
GAX;Gresy SUR AIX
GAZ;Gazinet-CESTAS
GBC;Guichen BOURG DES COMPTES
GBI;Gravigny BALIZY
GBX;Gembloux
GCA;Gensac LA PALLUE
GCC;Gignac CRESSENSAC(LOT)
GCO;Geneve-VOYAGEURS
