BEZEICHNUNG_OFFIZIELL;Abkuerzung
Bern Haslerstrasse 30;BNHA
Bern Henkerbrünnli;BNHB
Bern, Hauptbahnhof;BNHO
Benken SG;BNK
Bern, Helvetiaplatz;BNKF
Bern Ost (Spw);BNO
Bern P-VS-POS Leitstelle;BNPA
Bern P-F-CHS Support BUHA;BNPC
AdI zentrale Systeme P2001;BNPE
Bern P-VS Fundservice;BNPF01
Bern Schanzenstr 5 Gebäude PO;BNPO
Bern KDZ RBS;BNRB
Bern Stellwerk 1;BNS1
Bern Stellwerk 2;BNS2
Bern Steigerhubel (Abzw);BNSH
Bern P-VS-A Schulungsraum T158;BNSR
Bern Stöckacker;BNST
Bern-TUP-BATS D;BNTB01
Bern Tiefenau;BNTI
Bern Hochschulstr 6 Gebäude V;BNV
Bern Verbindungslinie;BNVL
Bern Wankdorf;BNWD
Bern Weissenbühl;BNWE
Bern Wylerfeld;BNWF
Bern Wylerfeld 94;BNWF94
Bern Wylerfeld 95;BNWF95
Bern Wylerfeld 96;BNWF96
Bern Wylerfeld 97;BNWF97
Bern Wylerfeld 98;BNWF98
Bern Wankdorf (Gl. 301 + 401);BNWK
Bern Weyermannshaus;BNWM
Bern Weyermannshaus mobile Equ;BNWM56
Bern Wylerfeld Unterwerk;BNWU
Bern Wylerpark;BNWY
Benzenschwil;BNZ
Bern, Zytglogge;BNZY
Bodio TI;BO
Bodio squadra mobile;BO56
Bodio cunicolo di aggira. nord;BOAN
Bossy Bois (embr);BOBO
Tunnel Bois de la Bâtie;BOBT
Bois-Bougy (B);BOBU
Bouveret (lac);BOCG
Bochum Nord mobile Equipe;BOCN56
Bodio cunicolo di aggira. sud;BOCS
Boden;BODE
Bollodingen, Dorf;BODO
Le Boéchet;BOEC
Bouveret, école des Missions;BOEM
Bönigen;BOEN
Bönigen Gleisende;BOGE
Bollodingen, Hegen;BOHE
Bologna Interporto squadra mob;BOIN56
Les Bois;BOIS
Bollingen;BOL
Boltigen, Dorf;BOLD
Bôle;BOLE
Bolligen;BOLI
Bollement;BOLL
Boltigen;BOLT
Bossy Moulins (embr);BOMO
Bonstetten-Wettswil;BON
Bonstetten mobile Equipe;BON56
Bonaduz;BONA
Bonfol;BONF
Boniswil;BONI
Bois Noir (B);BONO
Bonstetten Süd (B);BONS
Bodio Bahntechnikgebäude Ost;BOOS
Bottenwil, Dorf;BOPO
Bodio Schutzstrecke;BOPSS
Borgnone-Cadanza;BORC
Borrweg;BORR
Born Tunnel OL-RTR;BORT
Boswil-Bünzen;BOS
Boschetto;BOSC
Bonstetten Nord (Spw);BOSN
Boswil (Spw);BOSP
Bosquets;BOSQ
Bossière;BOSS
Bottighofen;BOT
Bottmingen, Schloss;BOTM
Bouveret;BOU
Bouveret, Aquaparc;BOUA
Bouveret-Frontière;BOUF
Bouquetins;BOUQ
Boll-Utzigen;BOUT
Boudry Unterwerk;BOUW
Boveresse;BOV
Bovernier;BOVE
Bouveret, village;BOVI
Bowil;BOW
Bönigen Werkstätte BLS;BOWE
Boniswil Nord;BOWN
Boniswil Süd;BOWS
Bodio Bahntechnikgebäude West;BOWT
Bözbergtunnel;BOZT
