BEZEICHNUNG_OFFIZIELL;Abkuerzung
Murgenthaltunnel NBS;MGTT
Murg West;MGWE
Mühlehorn;MH
Mühlehorn, Beerenboden;MHBB
Mühlehorn, Bahnhof;MHBF
Mühlehorn, Dorf;MHDO
Mühlehorn, Hohrain;MHHO
Mittelhäusern;MHN
Mühlehorn, Oberdorf;MHOD
Mühlehorn, Stutz;MHST
Mühlehorn Stellwerk;MHSW
Mühlehorn-Tiefenwinkel Zf Kabi;MHTF
BZ Mitholz Ost (LBT);MHZB
Muri AG;MI
Muri AG mobile Equipe;MI56
Muri AG 95;MI95
Muri AG 96;MI96
Muri AG 97;MI97
Muri AG 98;MI98
Mitholz, Unter der Fluh;MIAT
Mitholz, Balmhorn;MIBA
Muri bei Bern;MIBN
Milano Centrale FS 94;MICL94
Milano Centrale FS 95;MICL95
Milano Centrale FS 96;MICL96
Milano Centrale FS 97;MICL97
Milano Centrale FS 98;MICL98
Miesern;MIE
Mies (bif);MIEB
Mies;MIES
Muri fakultative Schutzstrecke;MIFSS
Milano Greco Pirelli Centr.Es.;MIGC
Milano Greco Pirelli BW CIWLT;MIGP05
Milano Greco smaltimento/Forn.;MIGP80
Mitlödi, Hauptstrasse;MIHS
Minusio;MINU
Miralago;MIRA
Milano Rogoredo squadra mobile;MIRO56
Milano Sm. squadra mobile;MISI56
Mitlödi;MIT
Mitholz (Spw);MITH
Mittlerschwanden;MITS
Mitholz, Underem Büel;MIUB
Mitholz Unterwerk;MIUW
Meierskappel-Risch;MKR
Meilen;ML
Meilen mobile Equipe;ML56
München-Laim SA Lokbereich;MLR41
München-Laim mobile Equipe;MLR56
Müntschemier;MM
Müntschemier mobile Equipe;MM56
Mammern, Bahnhofstrasse;MMBS
Mühlethal, Milchhüsli;MMIL
Montmollin-Montezillon;MML
Mittelmuhen;MMUH
Insel Mainau;MN
Mosen;MO
Mischgutwerk Ost (Agl);MOAG
Mollis, Beglingen;MOBG
Mollis, Baumgartenstrasse;MOBS
Mols Bommersteintunnel;MOBT
Motta da Cadera;MOCA
Morges (lac);MOCG
Mollis, Chapellenstutz;MOCH
Möhlin;MOE
Möhlin mobile Equipe;MOE56
Mönchengladbach SA Lokbereich;MOEG41
Möhlin Industrie;MOEI
Mörel;MOEL
Mörschwil;MOER
Moers SA Lokbereich;MOES41
Möhlin Tannenhof;MOET
Morvillars (FQ);MOFQ
Mogelsberg;MOG
Mognatta (B);MOGN
Molincero Galleria Sud;MOGS
Mollis, Haltli;MOHA
Mollis, Kirchplatz;MOKP
Mollis, Kanalstrasse;MOKS
Galleria Molincero;MOLG
Mols;MOLS
Lausanne, Montelly;MOLY
Tunnel de Glovelier Nord;MOMN
Mornago;MONA
Montebello Barriere;MONB
Mollis, Oberrütelistrasse;MOOB
Moos;MOOS
Mollis, Post;MOPO
Mörel, Post;MOPT
Morges;MOR
Morges équipe mobile;MOR56
Morges 94;MOR94
Morges 95;MOR95
Morges 96;MOR96
Morges 97;MOR97
Morges 98;MOR98
Mortara squadra mobile;MORA56
Morges [voie 5-6];MORG
Montricher;MORI
Mörschwil Meggenhuus;MORM
Mörschwil Ost;MORO
Moutier, Rue de Soleure;MORS
Moosseedorf;MOSE
Mendrisio S. Martino;MOSM
Môtiers;MOT
Morteratsch;MOTA
Mumpé Tujetsch;MOTU
Moutier;MOU
Moutier équipe mobile;MOU56
Moutier, gare;MOUG
Chavannes-R., UNIL-Mouline;MOUI
Moosseedorf Unterwerk;MOUW
Mörel Wassererfassung;MOWG
Mollis, Winden;MOWI
Tunnel des Moyats;MOYT
Mumpf;MPF
Meiringen;MR
Meiringen PW BU;MR10
Meiringen 94;MR94
Meiringen 95;MR95
Meiringen 96;MR96
Meiringen 97;MR97
Meiringen 98;MR98
Meiringen Alpbach;MRAB
Mören;MREN
Moreillon;MRL
Meiringen Ost;MRO
Täsch Monte Rosa;MROS
Aareschlucht West;MRSS
Morschach-Tunnel Brunnen (SZ);MRST
Murten/Morat;MRT
Murten mobile Equipe;MRT56
Murten 94;MRT94
Murten 95;MRT95
Murten 96;MRT96
Murten 97;MRT97
Murten 98;MRT98
Murten Nord (Abzw);MRTN
Meiringen West;MRW
Meiringen ZB;MRZB01
Münsingen;MS
Münsterlingen-Scherzingen;MSCH
Tunnel Bahnhof Museumstrasse;MSET
Münsterlingen Spital;MSPI
Münchenstein;MST
Münchenstein mobile Equipe;MST56
Münchenstein, Dorf;MSTD
Münchenstein, Loogstrasse;MSTL
Münchenstein, Neuewelt;MSTN
Münchenstein, Schaulager;MSTS
Montbovon;MTB
Monthey-Dépôt;MTD
Montétan;MTET
Murgenthal, Fahracker;MTFA
Monthey, gare CFF;MTGA
Murgenthal, Gadligen;MTGD
Murgenthal, Gemeindehaus;MTGH
Murgenthal, Garage Rickli;MTGR
Monthey;MTH
Monthey équipe mobile;MTH56
Monthey 94;MTH94
Monthey 95;MTH95
Monthey 96;MTH96
Monthey 97;MTH97
Monthey 98;MTH98
Monthey Novartis/Ciba;MTHC
Monthey-Ville, gare;MTHG
Monthey-Hôpital;MTHH
Monthey Industrie;MTHI
Monthey-En Place;MTHP
Monthey-Ville;MTHV
Murgenthal, Hohwart;MTHW
Marthalen;MTL
Marthalen Nord;MTLN
Mettmenstetten;MTM
Murgenthal, Moosmatt;MTMM
Mont-Pèlerin;MTPE
Matran;MTR
Matran PP;MTRC
Muttenz;MU
Muttenz Auhafen;MUAH
Muriaux;MUAU
Mumenthal Brunnmatten;MUBR
Münchenwiler-Courgevaux;MUCO
Mundaditsch (Verzw);MUDA
Mülenen;MUE
Münchenbuchsee;MUEB
Mühlau;MUEH
Müllheim-Wigoltingen;MUEL
Mürren BLM;MUER
Münster VS;MUET
Münster West;MUEW
Münchenbuchsee BLS;MUEX
Mühlethal Kabine FL;MUFL
Mumpé Tujetsch, Via Alpsu;MUFP
Muhen;MUH
Muhen Nord;MUHN
Mühlefluhtunnel Süd;MUHT
Le Muids;MUI
Mühleberg Kraftwerk;MUKW
Mulhouse-Ville 94;MUL94
Mulhouse-Ville 95;MUL95
Mulhouse-Ville 96;MUL96
Mulhouse-Ville 97;MUL97
Mulhouse-Ville 98;MUL98
Mülenen, Bahnhof;MULB
Wünnewil Mühletaltunnel;MULT
Muntelier;MUN
Münchringen;MUNC
Mundbach (Spw);MUND
Muntelier Süd (Abzw);MUNS
Muolen;MUO
Muttenz Ost (Abzw);MUOS
Muot;MUOT
Murgenthal, Post;MUPO
Münster VS, Schulhaus;MUPT
Murat (diag);MUR
Muraz (Collombey), Paquaire;MURA
Murkart;MURK
Mussachen;MUSS
Mühlehorn Stutztunnel;MUST
Mühlethal, Linden;MUTL
Mühlethal, Weiher;MUTW
Muttenz Unterwerk;MUUW
Montana Gare;MV
Münchwilen AG (Abzw);MWIA
Münchwilen TG;MWIL
Montreux;MX
Montreux (lac);MXCG
Montreux MOB;MXMO
Montreux MVR-mtgn;MXMT
Naters, Amerika;NAAM
Näfels-Mollis;NAEF
Nänikon-Greifensee;NAEN
Nätschen Ost;NAEO
Nätschen;NAET
Nätschen, Abzw. Bahnhof;NAEX
Naters, Fiischter-Fäld;NAFF
Näfels, Letz;NAFL
Näfels, Schönegg;NAFS
Tunnel de Nanchau;NANT
Naters, Rottubrigga;NARA
Tunnelportal Naxberg Süd;NAXS
Naxbergtunnel;NAXT
Niederbipp;NB
Niederbipp Dorf;NBD
Neuberg;NBG
Niederbottigen BN;NBT
Niederdorf;NDF
Neuchâtel;NE
Neuchâtel équipe mobile;NE56
Neuchâtel 94;NE94
Neuchâtel 95;NE95
Neuchâtel 96;NE96
Neuchâtel 97;NE97
Neuchâtel 98;NE98
Netstal, Altersheim;NEAH
Nebikon;NEB
Nesslau-Neu St.Johann, Bahnhof;NEBF
Neuchâtel-Vauseyon (bif);NEBI
Nebikon Nord (Abzw);NEBN
Nebikon Süd;NEBS
Neumühle, Dorf;NEDF
Nesslau, Dicken;NEDI
Neuchâtel Cargo;NEFD
Neuchâtel-Université (FUNI);NEFU
Neuchâtel-FUN;NEFU01
Netstal, Gemeinde;NEGD
Nesslau, Germen;NEGE
Neugut Ost bei DUE (Abzw);NEGO
Neugut West bei DUE (Abzw);NEGW
Neirivue;NEIR
Neuchâtel Est (bif);NEMA
Netstal, Post;NEPO
Nernier (F) (lac);NER
Neuchâtel-Serrières;NESE
Neuchâtel salles de formation;NESF
Neuchâtel sous-station;NESS
Netstal;NET
Netstal mobile Equipe;NET56
Neuchâtel Bus/TGV;NETG
Neuchâtel-Triage;NETR
Neuthal;NEU
Neuhaus (Unterseen) (See);NEUH
Neunkirch;NEUK
Neuheim, Dorf;NEUP
Neuchâtel-Vauseyon;NEVS
Neyruz;NEY
Les Neys;NEYS
Neue Forch;NFCH
Näfels, Post;NFPO
Näfels, Freulerpalast;NFRP
Niederglatt;NG
Niederglatt mobile Equipe;NG56
Nyon [gare souterraine];NGAS
Niedergampel,Zivilschutzanlage;NGAZ
Neue Gruonbachgalerie;NGBT
Neuenegg;NGG
Niedergesteln, Gesch;NGGE
Niederglatt ICF;NGIC
Niedergesteln, Industrie;NGIN
Niedergesteln, Kiesfang;NGKF
Neugrüt (Verzw);NGR
Neugut (Abzw);NGUT
Niedergesteln, Weiderli;NGWE
Niedergesteln, Wannumoos;NGWM
Neuhausen;NH
Neuhausen Bad Bf;NHB
Neuhaus bei Hinteregg;NHBH
Neuhausen Fischerhölzli Tunnel;NHFT
Neuhausen Grenze DB;NHGR
Neuhausen SIG Tunnel;NHNT
Neuenhof;NHOF
Neuhausen Rheinfall;NHRH
Nidfurn, Abzw. Haslen;NIAH
Nidau Beunden;NIBE
Nidfurn-Haslen;NID
Nidau;NIDA
Nidelbad (Abzw);NIDB
Nidelbad Ost (Abzw);NIDO
Nidelbad Süd (Abzw);NIDS
Niederhasli;NIE
Nienburg (Weser) mobile Equipe;NIEN56
Niederfeld (Spw);NIF
Niederbipp Industrie;NIIN
Niederösch, Oberdorf;NIPO
Nieder Reiderwald;NIRD
Nisellas (B);NISE
Niederösch, Unterdorf;NIUD
Neukirch-Egnach;NK
Neuenkirch Rastenmoos;NKRR
Nesslau-Neu St. Johann;NL
Nesslau-Neu St. Johann 94;NL94
Nesslau-Neu St. Johann 95;NL95
Nesslau-Neu St. Johann 96;NL96
Nesslau-Neu St. Johann 97;NL97
Nesslau-Neu St. Johann 98;NL98
Nesslau-Neu St. Joh. Gleisende;NLGE
Neumühle;NM
Näfels-Mollis, Bahnhof;NMBF
Nottwil;NO
Novara Boschetto squadra mobil;NOBO56
St. Gallen Notkersegg;NOGG
Noiraigue;NOI
Nok-Beznau (Abzw);NOKB
Le Noirmont;NOMO
Niederurnen, Ochsenplatz;NOOP
Novi San Bovo squadra mobile;NOSB56
Nieder- und Oberurnen;NOU
Novara squadra mobile;NOV56
Niederbipp [Gleis 11-12];NPAR
Nyon, La Redoute TPN (ePOS);NPOS
Niederried;NR
Niederrickenbach Station;NRRB
Niederried (See);NRS
Niederried ZB;NRZB01
Niederscherli;NS
Neu St. Johann, Klosterkirche;NSJG
Näfels, Lintharena;NSPZ
Niederteufen;NTEU
Nyon TPN;NTPN
Nürnberg Rbf mobile Equipe;NUER56
Niederurnen, Friedhof;NUFR
Niederurnen, Ziegelbrückstr.;NUZB
La Neuveville;NV
Niederweningen;NW
Niederweningen 95;NW95
Niederweningen 96;NW96
Niederweningen 97;NW97
Niederweningen 98;NW98
Niederwangen;NWA
Niederwald;NWAL
Niederwald, Bahnhof;NWBF
Niederweningen Dorf;NWD
Niederweningen (Gleisende);NWGE
Niederwald West;NWWE
Nyon;NY
Nyon équipe mobile;NY56
Nyon 94;NY94
Nyon 95;NY95
Nyon 96;NY96
Nyon 97;NY97
Nyon 98;NY98
Nyon (bif);NYB
Nyon (lac);NYCG
Nyon Dépôt;NYD
Niederlenz;NZ
Niederönz, Eggen;NZEG
Niederönz, Schürchhaus;NZHI
Niederönz, Gemeindehaus;NZPO
Oberaach;OA
Oberried am Brienzersee;OAB
Oberried am Brienzersee (See);OABS
Oberried am Brienzersee ZB;OABZ01
Oberbuchsiten;OB
Oberbuchsiten mobile Equipe;OB56
Oberalppass;OBAL
Obersteckholz, Am Wald;OBAW
Oberburg;OBB
Oberburg HW;OBBHW
Oberbipp;OBBI
Oberburg, Bärenstrasse;OBBS
Oberei bei Wasen i.E.;OBEI
Oberalppass, Bahnhof;OBFP
Obermatt Frequenzumrichter;OBFU
Obergesteln;OBGE
Oberkirch LU;OBK
Obermatt ZB;OBM
Oberösch;OBOE
Oberburg, Post;OBPO
Oberburg, Pfisternstrasse;OBPS
Obstalden, Bödeli;OBSB
Oberburg, Schulstrasse;OBSE
Oberburg, Schwandgasse;OBSG
Obstalden, Stocken;OBSS
Oberburg, Schulhaus Stöckern;OBST
Oberwald;OBW
Oberalp West;OBWE
Felsportal Furka Oberwald;OBWO
Oberburg, Ziegelgut;OBZG
Oberzollikofen;OBZO
Oberdiessbach;OD
Oberdorf BL;ODBL
Oberdorf BL Winkelweg;ODBW
Oberdorf SO;ODF
Oberdorf SO SBB;ODFS01
Oey-Diemtigen;OE
Oeschberg;OEBE
Oensingen, Bahnhof Süd;OEBS
Ölberg-Tunnel Brunnen (SZ);OEBT
Oensingen [Gleis 7-8];OEEN
Oberentfelden;OEF
Oberentfelden Uerkenbrücke;OEFU
Oberentfelden Engelplatz;OEFW
Oensingen;OEN
Oensingen mobile Equipe;OEN56
Oenzbergtunnel NBS;OENT
Aeschi Oenzberg West;OENZ
Oerlikontunnel;OERT
Oeschseite;OES
Otelfingen;OF
Otelfingen mobile Equipe;OF56
Oberfrittenbach, Aeugstmatt;OFAM
Oftringen, alte Strasse;OFAS
Oftringen, Bühnenberg-Sonnmatt;OFBB
Oberfrittenbach, Bad;OFBD
Oberfrittenbach, Buuchi;OFBI
Oberfrittenbach, Badmätteli;OFBM
Oftringen, Baslerstrasse;OFBS
Oberfrittenbach, Deckhus;OFDH
Oftringen, Döbeligut;OFDO
Oftringen, Eggenscheide;OFES
Offenburg mobile Equipe;OFF56
Offenburg Gbf mobile Equipe;OFFR56
Oftringen, Gilam;OFGI
Oberfrittenbach, Grebli;OFGR
Otelfingen Industrie;OFI
Oberfrittenbach, Im Bach;OFIB
Oftringen,Kallernhag/Center A1;OFKH
Oftringen, Kreuzplatz;OFKP
Oftringen, Lerchenfeld;OFLF
Oftringen, Oberfeld;OFOF
Oftringen, Obristhof;OFOH
Oftringen, Perry-Center;OFPC
Otelfingen Golfpark;OFR
Oftringen, Ruhbank;OFRB
Oberfrittenbach, Schulhaus;OFSH
Oftringen, Schulhaus/Kirche;OFSK
Oberfrittenbach, Stockmatte;OFSM
Oberfrittenbach, Stock;OFST
Oftringen Unterwerk;OFUW
Oftringen, Wirtshüsli;OFWH
Obergesteln, Dorfplatz;OGDP
Oberglatt;OGL
Obergetwing, Rottenbrücke;OGRB
Oberhofen a. T., Dorf;OHD
Oberhard BE;OHDB
Oberhofen am Thunersee;OHDS
Ob.Hauensteintunnel Portal Süd;OHTS
Oberrüti;OI
Oberwil im Simmental;OIS
Oberkulm;OKU
Oberkulm Post;OKUP
Olten;OL
Olten mobile Equipe G-SR;OL46
Olten mobile Equipe;OL56
Olten 94;OL94
Olten 95;OL95
Olten 96;OL96
Olten 97;OL97
Olten 98;OL98
Olten Gebäude Aarepark;OLAA
Olten Borntunnel Ost;OLBO
Olten Borntunnel West;OLBW
Olten Betriebszentrale;OLBZ
Olten Dornacherstr 7;OLDO
Olten Hammer;OLH
Olten IW;OLHW
Ollon;OLLO
Olten Nord (Abzw);OLN
Olten Nord-Ost (Abzw);OLNO
Olten Ost (Abzw);OLO
Olten RB;OLRB
Olten Süd (Abzw);OLS
Olten Tunnel (Spw);OLTU
Olten Unterwerk;OLUW
Olten VL;OLVL
Olten-Wiggertal FstZ;OLWI
Obermatt;OM
Obermuhen;OMUH
Onnens-Bonvillars;ONB
Onnens-Bonvillars PMP;ONBP
Ondallaz-L'Alliaz;OND
Opfikon;OP
Oberbipp Industrie;OPIN
Opfikontunnel I Station;OPIT
Oppikon;OPP
Oppikon-Süd;OPPS
Oppikon SBB;OPPS01
Opfikon Süd;OPS
Opfikontunnel II;OPT
Oron;OR
Orbe;ORBE
Orpund, Bürenstrasse;ORBS
Orpund, Byfang;ORBY
Oron-le-Châtel-Pont;ORCC
Oberrieden;ORD
Oberrieden Dorf;ORDD
Oberriet SG, Eichenwies;OREI
Orbe-Industrie (marchandises);ORIN
Oberriet SG, Moos;ORMO
Orpund, Neumatt;ORNM
Orpund, Post;ORPO
Orsières;ORS
Orsières entretien;ORS25
Oberriet;ORT
Oberriet mobile Equipe;ORT56
Oberriet Industrie;ORTI
Oberriet SG, Oberdorf;ORTO
Oberriet SG, Rathaus;ORTR
Oberriet SG, Sekundarschule;ORTS
Orpund, Zumbach;ORZB
Osogna-Cresciano;OS
Oberentfelden Ankematt;OSAM
Ospizio Bernina;OSBE
Osogna Fabbricato tecnico;OSFT
Obstalden, Post;OSPO
Ossingen;OSS
Ossingen-Ost;OSSO
Ostermundigen;OST
Ostermundigen mobile Equipe;OST56
Oberwil BL, Stallen;OSTA
Ostermundigen Poststrasse 6;OSTP6
Obstalden, Walenguflen;OSWG
Othmarsingen;OTH
Oberurnen, Feuerwehrplatz;OUFW
Oberurnen, im Grütli;OUGR
Oberurnen, im Horn;OUHO
Oberuster;OUST
Oberwil BL, Zentrum;OW
Oberwangen;OWA
Oberwald, Bahnhof;OWBF
Oberwinterthur (Df);OWDF
Oberwinterthur;OWT
Oberwinterthur mobile Equipe;OWT56
Oberwinterthur Ost;OWTO
Oberwinterthur SA Pünten;OWTP
Instandhaltungsanlage Pünten;OWTP25
Oberwinterthur Unterhaltanlage;OWTU
Oberwinterthur Depot Lok;OWTU10
Oberwinterthur Unterhaltszentr;OWTU25
Oberwinterthur U-Anl Gleisfeld;OWTU26
Oberwinterthur RICO Gl 121-124;OWTU27
Oberwinterthur Ent-/Versorgung;OWTU80
Oberwinterthur Ver-/Entsorgung;OWTU81
Oberwinterthur DR;OWTU86
Oberwinterthur GR;OWTU90
Oberwinterthur 94;OWTU94
Oberwinterthur 95;OWTU95
Oberwinterthur 96;OWTU96
Oberwinterthur 97;OWTU97
Oberwinterthur 98;OWTU98
Oberönz, Kreuzstr.-Burgäschi;OZKB
Oberönz, Kreuz;OZKR
Oberönz, Moos;OZMO
Obersteckholz, Post;OZPO
Parpan, Post;PABA
Paccot;PACC
Padova Interporto squadra mobi;PADI56
Palézieux;PAL
Palézieux équipe mobile;PAL56
Palézieux 94;PAL94
Palézieux 95;PAL95
Palézieux 96;PAL96
Palézieux 97;PAL97
Palézieux 98;PAL98
Palézieux Est (bif);PALB
Palézieux-Gare;PALC
Palagnedra;PALG
Palézieux Pont;PALP
Palüds;PALU
Palézieux-Village;PALV
Palézieux TPF;PALX
Palézieux [voie 11-12];PALY
Château-d'Oex La Palaz;PALZ
Papiermühle;PAPI
Le Pâquier-Montbarry;PAQ
Pardorea (c bin);PARD
Passau mobile Equipe;PAS56
Pampigny-Sévery;PASE
Passmal;PASM
Pasquerio (bin rac);PASQ
Tunnel de Pasquart;PAST
Payerne;PAY
Payerne équipe mobile;PAY56
Payerne 94;PAY94
Payerne 95;PAY95
Payerne 96;PAY96
Payerne 97;PAY97
Payerne 98;PAY98
Payerne Est (bif);PAYE
Payerne Nord (bif);PAYN
Galleria Pardorea;PDAT
Les Ponts-de-Martel;PDM
Les Paluds;PDS
Peist;PEI
Pensier;PEN
Perroy;PER
La Perche;PERC
Pfäffikon SZ;PF
Pfäffikon SZ mobile Equipe;PF56
Pfäffikon SZ 95;PF95
Pfäffikon SZ 96;PF96
Pfäffikon SZ 97;PF97
Pfäffikon SZ 98;PF98
Pfaffnau, Brunnmatt;PFAB
Pfaffnau, Dorfplatz;PFAD
Pfaffensprung (Spw);PFAF
Pfaffnau, Steinacher;PFAS
Pfaffensprung-Tunnel Gurtnelle;PFAT
Pfäffikon SZ, Bahnhof;PFBF
Münchwilen Pflegeheim;PFL
Pflanzschule (B);PFLA
Pfäffikon SZ Nord (Abzw);PFNO
Pfäffikon SZ Ost (Abzw);PFOS
Pfaffnau, Post;PFPO
Pfungen;PFU
Pfungen Ost;PFUO
Pfäffikon ZH;PFZ
Pianotondo (c bin);PIA
Piacenza squadra mobile;PIAC56
Galleria Pianotondo;PIAG
La Piana;PIAN
Pieterlen, Bahnhof;PIBF
Pieterlen;PIE
Le Pied-d'Or;PIEO
Pieterlen Unterwerk (BKW);PIEU
Pieterlen, Gemeindehaus;PIGH
Pieterlen, Industrie West;PIIW
Pilatus Kulm;PIL
Pino transito;PIN
Pino confine;PINC
Pino-Tronzano;PINT
Piotta Centrale (funicolare);PIOC
Piora;PIOR
Pischahorn (B);PISB
Pieterlen, Schulhaus;PISH
Pieterlen, Schlössli;PISI
Piz Fless (B);PIZB
Planchamp;PLAC
Plambuit;PLAM
Les Plantaz;PLAN
Les Planches (Aigle);PLAS
Montreux-Les Planches;PLCH
Les Pléiades;PLEI
Plan Morier;PLMO
Planalp;PLP
Plattischachen UW (CKW/EWA);PLUW
Galleria Polmengo;PM
Ponte Brolla;POBR
Pont de Fayot;POFA
Pollegio CEP;POLC
Pollegio Sud (Dira);POLD
Pollegio;POLL
Pollegio Nord (dira);POLN
Pollegio binario di sorpasso;POLS
Pollegio Sottocentrale;POLU
Pontenet;PON
Pontarlier;PONT
Porrentruy;POR
Porrentruy équipe mobile;POR56
Porrentruy 94;POR94
Porrentruy 95;POR95
Porrentruy 96;POR96
Porrentruy 97;POR97
Porrentruy 98;POR98
Pontresina;PORE
Porrentruy Sud;PORS
Poschiavo;POS
Poschiavo Nord;POSN
Les Posses;POSS
Ponte Tresa;POTR
Poudeille;POU
Pozzo Negro (dira);POZZ
Tunnel de Pierre-Pertuis;PPET
Tunnel de Pierre-Pertuis Nord;PPNO
Tunnel de Pierre-Pertuis Sud;PPSU
Pratteln;PR
Pradei;PRAD
Galleria Prato;PRAG
Les Pralies;PRAL
Pramont;PRAM
Pratteln Buholz;PRBU
Prilly-Chasseur;PRCH
Preglia;PRE
Preda;PRED
Galleria Precassino;PREG
Prêles;PREL
Preda Nord;PREN
Prestinone;PREO
Pré-Petitjean;PREP
Le Prese;PRES
Le Prese (incrocio);PRET
Pregny (B);PREY
Prélionne;PRL
Praz Lebaz (B);PRLE
Pratteln Leimen;PRLM
Prélaz-sur-Blonay;PRLZ
Parma squadra mobile;PRM56
Prilly-Malley;PRMA
Prangins;PRN
Pratteln Ost (Abzw);PRO
Lausanne, Provence;PROV
Pratteln Salina Raurica;PRSR
La Presta Mines d'asphalte;PRST
Pratteln Ueberwerfung;PRUW
Pratteln West;PRW
Villigen Paul Scherrer Institu;PSI
Le Pont;PT
Pont-Céard;PTC
Pont de Chemex;PTCX
Pont-de-Drapel;PTD
Ponte Ticino Est (c bin);PTIE
Ponte Ticino Ovest (c bin);PTIO
Punt Muragl;PTM
Petit-Martel;PTMA
Petit-Martel-Est;PTME
Punt Muragl Staz;PTMS
Pont du Rhône;PTR
Le Pont TRAVYS;PTXY
Pully;PU
Pully (lac);PUCG
Puidoux;PUI
Puidoux-Chexbres 94;PUI94
Puidoux-Chexbres 95;PUI95
Puidoux-Chexbres 96;PUI96
Puidoux-Chexbres 97;PUI97
Puidoux-Chexbres 98;PUI98
Puidoux-Chexbres Gare;PUIC
Puidoux Pont;PUIP
Puidoux-Chexbres sous-station;PUIS
Tunnel de Puidoux (Cornallaz);PUIT
Pully-Nord;PUN
Pully-Nord (B);PUNB
Pully-Nord Cabine;PUNC
Porto Valtravaglia;PVAL
Perreux;PX
Quartino;QUA
Quadra;QUAD
Quinto Tre Cappelle;QUTC
Ramsen;RA
Raron Betriebszentrale;RAAT
Raron, Bahnhof;RABF
Racconigi squadra mobile;RACC56
Reinach BL, Dorf;RACH
Raron, Dorf;RADO
Räfis-Burgerau;RAEF
Räfis, Schulhaus;RAES
Räterschen;RAET
Buchs SG, Flösweg;RAFL
Ragnatsch (B);RAG
Rupperswil-Auenstein Kraftwerk;RAKW
Ramsei;RAM
Ramsei, Bahnhof;RAMB
Raron, Kanalstrasse;RAMO
Ramsen Schaltposten;RAMS
Ranconnex;RAN
Rank (B);RANB
Randa;RAND
Rank;RANK
Randa Nord;RANN
Rank (Spw);RANS
Ranflüh, Oberdorf;RAOB
Raron;RAR
Raron, Bodmereia;RARB
Raron, Industrie;RARI
Rarnerkumme (Spw);RARK
Ranflüh, Ranflühmatte;RARM
Raron Betriebszentrale Ost;RARO
Rastatt mobile Equipe;RAS56
Raron, Schulhaus;RASH
Rabius-Surrein;RASU
Raron Betriebszentrale West I;RAW1
Raron Betriebszentrale West II;RAW2
Rohrbach;RBA
Rickenbach bei Wil, Breite;RBBR
RBC Axen;RBCAXE
RBC Claro;RBCCLA
RBC GBT (Gotthard);RBCGBT
RBC Frutigen;RBCLBT
RBC Olten;RBCNBS
RBL Dietikon Funkkabine;RBDT
Galleria Roca Bella;RBEG
Rossberg (B);RBER
RBL EZA;RBEZ
Rothenburg;RBG
Rothenburg mobile Equipe;RBG56
Rothenburg Adligen;RBGA
Rothenburg Dorf;RBGD
Rothenburg Riffig;RBGR
Reinach AG, Beinwiler Höhe;RBH
RBL Killwangen Funkkabine;RBKL
Zürich RB Limmattal;RBL
RBL SA Lokbereich;RBL41
RBL mobile Equipe;RBL56
RBL A-Gruppe;RBLA
RBL Gleis 115;RBLB
RBL Depot;RBLD
RBL E-Gruppe;RBLE
RBL Kopf Killwangen;RBLK
RBL L-Gruppe;RBLL
RBL Mitte (Abzw);RBLM
RBL Nord (Abzw);RBLN
RBL Ost;RBLO
Zürich RB Limmattal Depot/Bau;RBLP
RBL R-Gruppe;RBLR
RBL Tivoli;RBLT
RBL U-Gruppe;RBLU
RBL West;RBLW
RBL Kopf Zürich;RBLZ
Riesbachtunnel II;RBTN
Riedbach;RCH
Roches Grises;RCHG
Rheineck;RCK
Rheineck mobile Equipe;RCK56
Rheineck Ost;RCKO
Rheineck [Gleis 0];RCKX
Le Rocheray;RCY
Rodersdorf, Station;RD
Reiden, Bahnhof;RDBF
Reiden, Friedmattstrasse;RDFS
Reiden, Kirche;RDKI
Riedmatt SZ;RDM
Reiden, Mehlsecken;RDMS
Reiden, Sonne;RDSO
Reiden, Unterdorf;RDUD
Renan BE;RE
Reckingen, Abzw. Bahnhof;REAB
Realp;REAL
Rennaz (Leysin);REAZ
Rebstein-Marbach;REB
Rebstein, Ausserdorf;REBA
Rebstein, Betten;REBB
Rebstein, Dorf;REBD
Reichenbach i. K., Bahnhof;REBF
Reichenbach i. K., Buchholz;REBH
Reiden Nord;REBR
Rebstein, Steinacker;REBS
Record buchet (B);REBU
Reconvilier;REC
Renens Centre d’Exploitation;RECE
Recherswil (NBS);RECH
Reckingen;RECK
Reckingen West;RECW
Reichenburg, Dorf;REDF
Umrichterwerk Regensdorf;REFU
Regensdorf-Watt;REG
Regensdorf-Watt mobile Equipe;REG56
Regensdorf-Watt 95;REG95
Regensdorf-Watt 96;REG96
Regensdorf-Watt 97;REG97
Regensdorf-Watt 98;REG98
Regensburg mobile Equipe;REGS56
Regensdorf West (Abzw);REGW
Reinach AG;REI
Reiden;REID
Reichenau Farsch (Abzw);REIF
Reichenbach im Kandertal;REIK
Reinach AG Nord;REIN
Reichenau-Tamins;REIT
Rekingen AG;REK
Rekingen AG mobile Equipe;REK56
Rekingen AG 95;REK95
Rekingen AG 96;REK96
Rekingen AG 97;REK97
Rekingen AG 98;REK98
Reichenburg, Kreuzwies;REKW
Renens VD Larges Pièces (embr);RELP
Remaufens;REMA
Reinach AG Mitte;REMI
Renens VD;REN
Renens VD équipe mobile;REN56
Renens VD 95;REN95
Renens VD 96;REN96
Renens VD 97;REN97
