Linie;Streckenverlauf;Verkehrsmitteltext;Kompakte Liniennummer
380;Backnang - Sulzbach (M) - Mainhardt;5 - Bus;31-380-j18
381;Backnang - WeissacherTal - Althütte Backnang - Weiss.Tal - Althütte (Spät- und Nachtbusverkehr) (Spät- und Nachtbusverkehr);5 - Bus;31-381-j18
381-P;Backnang - Weiss.Tal - Althütte (Spät- und Nachtbusverkehr) Backnang - WeissacherTal - Althütte (Spät- und Nachtbusverkehr);5 - Bus;31-381-P-j18
382;Backnang - Weissach i.T. - Auenwald - Althütte;5 - Bus;31-382-j18
383;Backnang - Allmersbach i.T. - Unterweissach;5 - Bus;31-383-j18
384;Backnang - Weissach i.T. - Althütte;5 - Bus;31-384-j18
385;Backnang - Sulzbach (M) - Wüstenrot - Neuhütten;5 - Bus;31-385-j18
386;Sulzbach (M) - Spiegelberg - Spiegelberger Teilorte;5 - Bus;31-386-j18
387;Sulzbach (M) - Bartenbach - Großerlach - Sulzbach (M);5 - Bus;31-387-j18
390;Backnang - Oppenweiler - Sulzbach (Murr) - Murrhardt Backnang - Murrhardt - Fornsbach;5 - Bus;31-390-j18
393;Backnang - Allmersbach i.T. - Rudersberg (Fahrrad2Go);5 - Bus;31-393-j18
401;Mühlhausen - Zuffenhausen (- Feuerbach);5 - Bus;31-401-j18
402;Hochdorf-Hochberg-Neckarrems-Neckargr.-Aldingen-Pattonville;5 - Bus;31-402-j18
403;Hochberg - Neckargröningen - Aldingen Berliner Straße;5 - Bus;31-403-j18
405;Hochdorf - Neckarrems - Neckargröningen - Aldingen - Pattonville;5 - Bus;31-405-j18
411;Kornwestheim Bahnhof - Friedhof;5 - Bus;31-411-j18
412;Pattonville - Kornwestheim (- Stammheim);5 - Bus;31-412-j18
413;Ludwigsburg - Kornwestheim;5 - Bus;31-413-j18
414;Kornwestheim Bf - Mühlhäuser Straße - Bahnhof;5 - Bus;31-414-j18
420;Ludwigsburg ZOB - Weststadt - Asperg ;5 - Bus;31-420-j18
421;Neckarweihingen - Ludw. ZOB - Oststadt - Oßweil-Süd;5 - Bus;31-421-j18
421A;Neckarweih. - Ludw. ZOB - Oststadt - Oßweil-Süd (Schülerverkehr);5 - Bus;31-421-a-j18
422;Pflugfelden - Ludw. ZOB - Schlösslesfeld;5 - Bus;31-422-j18
422A;Pflugfelden - Ludw. ZOB - Schlösslesfeld (Schülerverkehr);5 - Bus;31-422-a-j18
423;Ludwigsburg ZOB - Kreisberufsschule;5 - Bus;31-423-j18
424;"Ludwigsburg Arsenalplatz - ZOB - PH - Breuningerland - IKEA Ludw. Arsenalplatz - ZOB - PH - Breuningerland - IKEA Sonderverkehr ""Jazz on a Sunday"" Breuningerland Ludwigsburg";5 - Bus;31-424-j18
425;Eglosheim - Ludw. ZOB - Oßweil;5 - Bus;31-425-j18
425A;Eglosheim - Ludw. ZOB - Oßweil (Schülerverkehr);5 - Bus;31-425-a-j18
426;Ludwigsburg ZOB  - Oßweil Nord;5 - Bus;31-426-j18
427;(Pattonville -) Grünbühl - Ludw. ZOB - Hoheneck;5 - Bus;31-427-j18
427A;(Pattonville -) Grünbühl - Ludw. ZOB - Hoheneck ;5 - Bus;31-427-a-j18
429;Ludw. Forum - ZOB - Talstraße - Neckarweihingen Hermann-Hesse-Str.;5 - Bus;31-429-j18
430;(Hochberg -) Poppenweiler - Ludw. ZOB - Eglosheim;5 - Bus;31-430-j18
431;Ludwigsburg - Neckargröningen - Neckarrems - Hegnach - Waiblingen;5 - Bus;31-431-j18
432;Ludwigsburg - Neckargröningen - Hegnach - Waiblingen;5 - Bus;31-432-j18
433;Asperg - Ludwigsburg ZOB - Hochberg - Poppenweiler;5 - Bus;31-433-j18
433A;Asperg - Ludw. ZOB - Hochberg - Poppenweiler (Schülerverkehr);5 - Bus;31-433-a-j18
443;Ludwigsburg - Neckarweihingen - Marbach (N);5 - Bus;31-443-j18
444;Ludwigsburg - Freiberg (N) - Höpfigheim (- Steinheim (M));5 - Bus;31-444-j18
444A;Freiberg (N) - Pleidelsheim - Höpfigheim (Schülerverkehr);5 - Bus;31-444-a-j18
446;Freiberg (N) - Großingersheim - Kleiningersheim;5 - Bus;31-446-j18
446A;Freiberg (N) - Großingersheim - Kleiningersheim (Schülerverkehr);5 - Bus;31-446-a-j18
