BANENR;TIB;HVDSTRK;STRKAFS;TRINBRAET;NAVN;FORKORTELSE;FRAKM;TILKM;STATIONSMIDTE;BANEKLASSE;BTRTYPE;BEMAERKNING;SORT_ORDER;FILTER
;;606;606027;;Gilleleje;Gll;25,42;26,15;25,9;Privatbane;Station;;613;STED
;;608;608010;;Kagerup - Helsinge;Kgg-Hlg;8,89;14,04;;Privatbane;Fri Bane;;614;4
;;608;608010;608011;Duemose;Dug;;;10,7;Privatbane;Trinbræt;;615;STED
;;608;608015;;Helsinge;Hlg;14,04;14,88;14,6;Privatbane;Station;;616;STED
;;608;608016;;Helsinge - Vejby;Hlg-Vej;14,88;20,72;;Privatbane;Fri Bane;;617;4
;;608;608016;608017;Laugø;Løg;;;16,9;Privatbane;Trinbræt;;618;STED
;;608;608016;608019;Ørby;Øbg;;;19,1;Privatbane;Trinbræt;;619;STED
;;608;608021;;Vejby;Vej;20,72;21,37;21;Privatbane;Station;;620;STED
;;608;608022;;Vejby - Tisvildeleje;Vej-Tvl;21,37;24,32;;Privatbane;Fri Bane;;621;4
;;608;608022;608221;Holløse;Hog;;;22,2;Privatbane;Trinbræt;;622;STED
;;608;608022;608235;Godhavn;Ghg;;;23,5;Privatbane;Trinbræt;;623;STED
;;608;608025;;Tisvildeleje;Tvl;24,32;24,85;24,7;Privatbane;Station;;624;STED
;;609;609002;;Holbæk - Mårsø;Hk-Må;0,8;4,5;;Privatbane;Fri Bane;;625;3
;;609;609002;609003;Stenhus;Sht;;;1,3;Privatbane;Trinbræt;;626;STED
;;609;609005;;Mårsø;Må;4,5;5,65;5,1;Privatbane;Station;;627;STED
;;609;609006;;Mårsø - Gislinge;Må-Gsl;5,65;10,38;;Privatbane;Fri Bane;;628;3
;;609;609006;609007;Ny Hagested;Hgt;;;7,7;Privatbane;Trinbræt;;629;STED
;;609;609011;;Gislinge;Gsl;10,38;11,01;10,7;Privatbane;Station;;630;STED
;;609;609012;;Gislinge - Svinninge;Gsl-Sng;11,01;15,41;;Privatbane;Fri Bane;;631;4
;;609;609015;;Svinninge;Sng;15,41;16,2;15,8;Privatbane;Station;;632;STED
