Tabellennummer;Liniennummer;Laufweg
622;RB 42;Brilon Stadt - Brilon Wald - Willingen - Korbach - Frankenberg - Marburg
623;RB 94;Marburg (Lahn) - Bad Laasphe - Erndtebrück Obere Lahntalbahn
625;RB 23, RE 25, RB 45;Koblenz Hbf - Limburg (Lahn) - Wetzlar - Gießen Lahntalbahn
627;RE 20, RB 21, RB 22;Frankfurt / Wiesbaden - Niedernhausen - Limburg (Lahn)
628;RB 29, RB 90;Limburg (Lahn) - Staffel Gesamtverkehr
629;RB 29, RB 90;Limburg - Montabaur - Siershahn HLB 29 Unterwesterwaldbahn
630;RE 30, RB 40, RB 41, RB49, RE98/99;Frankfurt (Main) - Friedberg - Gießen Main-Weser-Bahn
631;RB 46;Gießen - Nidda - Gelnhausen Lahn-Kinzig-Bahn
632;RB 47, RB 48;Friedberg - Beienheim - Nidda / Wölfersheim-Södel
633;RB 49;Gießen - Friedberg - Nidderau - Hanau
634;RB 34;Frankfurt - Bad Vilbel - Glauburg-Stockheim Niddertalbahn
635;RB 45;Gießen - Alsfeld - Fulda Vogelsbergbahn
636;RB 16;Friedberg - Friedrichsdorf
637;RB 15;Brandoberndorf - Friedrichsdorf - Bad Homburg - Frankfurt Taunusbahn
640;RE 54, RE 55, RB58, RE 59;Frankfurt (Main) - Frankfurt Ost - Hanau - Aschaffenburg
641;RE 80, RB 81, RB 82, RE 85, RB 86;Darmstadt / Frankfurt - Hanau - Groß-Umstadt Wiebelsbach - Eberbach Odenwaldbahn
642;RB 56;Hanau - Kahl (Main) - Schöllkrippen
643;RB 11;Frankfurt-Höchst - Bad Soden Sodener Bahn
645_1;S1;Wiesbaden - F-Höchst - Frankfurt - Offenbach Ost - Rödermark -Ober Roden
645_2;S2;Niedernhausen (Ts) - Frankfurt-Höchst - Frankfurt - Offenbach Ost - Dietzenbach
645_3_4;S3 S4;Darmstadt - Langen - Frankfurt Süd - Frankfurt - Frankfurt West / Bad Soden / Kronberg
645_5;S5;Friedrichsdorf (Ts) - Bad Homburg - Frankfurt West - Frankfurt (Main) - Frankfurt Süd
645_6;S6;Friedberg - Bad Vilbel - Frankfurt West - Frankfurt (Main) - Frankfurt Süd
645_7;S7;Frankfurt Hbf (hoch) - Groß Gerau-Dornberg - Riedstadt Goddelau
645_8_9;S8 S9;Hanau - Frankfurt - Frankfurt Flughafen / Mainz / Mainz-Kastel / Wiesbaden
646;RB 12;Königstein - Frankfurt-Höchst - Frankfurt (Main) Hbf
647;RB 61;Frankfurt - Dreieich-Buchschlag - Rödermark-Ober Roden - Dieburg Dreieichbahn
650;RE 60, RB 66, RB 67, RB 68;Frankfurt (Main) - Darmstadt / Mannheim / Heidelberg - Wiesloch-Walldorf Main-Neckar-Bahn
650_1;RB 66;Darmstadt Hbf - Darmstadt-Eberstadt - Pfungstadt
650_2;Fernverkehr;Heidelberg / Mannheim - Darmstadt - Frankfurt (Main) Main-Neckar-Bahn
650_3;;Neu-Edingen/Friedrichsfeld - Schwetzingen
651;RB 75;Wiesbaden -Mainz - Darmstadt - Aschaffenburg
653;RB 63;Worms - Bensheim
654;RB 69;Weinheim - Mörlenbach - Fürth
655;RB 62, RE 70;Frankfurt - Biblis / Mannheim / Worms Riedbahn
659;RE 4, RE 14;Frankfurt - Mainz - Speyer - Karlsruhe
660;RE 14, RB 35, RB 44, RB 46;Mainz - Worms - Ludwigshafen - Mannheim
