Abk;Name;Kurzname;Typ;Betr-Zust;Primary location code;UIC;RB;gültig von;gültig bis;Netz-Key;Fpl-rel;Fpl-Gr
RITBR;Ittersbach Rathaus;Ittersbach Rath;NE-Hp;;;0080;;20081214;;912693;J;N
RITI;Ittersbach Industrie;Ittersbach Indu.;NE-Hp;;;0080;;20081214;;912620;J;N
RITL;Ittlingen;Ittlingen;Hp;;DE15252;0080;6;20081214;;141903;J;N
RIZB;Iznang;Iznang;Slst;;;0080;;19990101;;;;
RJ;Jechtingen;Jechtingen;NE-Hp;;;0080;;20081214;;478057;J;N
RJL;Jöhlingen;Jöhlingen;vp-Bf;;DE15301;0080;6;20081224;;141044;J;N
RJLB;Jöhlingen Bahnhof;Jöhlingen Bf;vp-Hp;;DE15302;0080;6;20081224;;345132;J;N
RJLW;Jöhlingen West;Jöhlingen West;vp-Bft;;DE15303;0080;6;20101212;;090050;J;N
RJO;Jockgrim Bahnhof;Jockgrim Bf;Hp;;DE15297;0080;6;20101212;;191023;J;N
RK;Karlsruhe Hbf;Karlsruhe Hbf;Bf;;DE15378;0080;6;20081214;;142281;J;N
RK  A;Karlsruhe Hbf Bft Südeinfahrt;Kar Hbf Südeinf;Bft;;DE15379;0080;6;20151213;;913050;J;J
RK  G;Karlsruhe Geroldsäcker;Karlsr Geroldsä.;NE-Hp;;;0080;;20081214;;912635;J;N
RK  H;Karlsruhe Rheinhafen;Kar Rheinhafen;NE-Hp;;;0080;;20091213;;107010;J;N
RK  O;Karlsruhe Dornröschenweg;Karlsr Dornrösch;Tp;;;0080;;19990101;;;;
RK  R;Karlsruhe Reitschulschlag;Karlsr Reitschul;NE-Hp;;;0080;;20081214;;912636;J;N
RK  S;Karlsruhe Hbf Südausgang;Karlsruhe Hbf Sd;Bush;;;0080;;20140821;;;;
RK  T;Karlsruhe Tullastraße;Kar Tullastraße;NE-Hp;;;0080;;20091213;;106977;J;N
RK  W;Karlsruhe Hbf Abstellgruppe West;Kar Hbf Westgr;Bft;;DE21713;0080;6;20161211;;109977;J;N
RKA;Kandern;Kandern;NE-Bf;;;0080;;20081214;;912425;J;N
RKAB;Karlsruhe Albtalbahnhof;Kar. Albtalbf.;NE-Bf;;;0080;;20081214;;912424;J;N
RKAG;Karlsruhe Augartenstraße;Ka Augartenstr;NE-Hp;;;0080;;20100501;;107076;J;N
RKAP;Karlsruhe Poststraße;Kar Poststraße;NE-Hp;;;0080;;20100501;;107077;J;N
RKBA;Kleinsteinbach;Kleinsteinbach;Hp;;DE15600;0080;6;20081214;;141085;J;N
RKBG;Kirnbach-Grün;Kirnbach-Grün;NE-Hp;;;0080;;20090401;;412056;J;N
RKBP;Karlsruhe Kronenplatz (Kaiserstr);Ka Kronenpl Kais;NE-Hp;;;0080;;20091213;;107046;J;N
RKBV;Kirschbaumwasen;Kirschbaumwasen;vp-Hp;;DE15554;0080;6;20081219;;660761;J;N
RKD;Kandel;Kandel;Bf;;DE15359;0080;6;20081214;;194712;J;N
RKDG;Karlsruhe Gottesauer Platz;Ka Gottesauer Pl;NE-Hp;;;0080;;20100501;;107075;J;N
RKDS;Karlsruhe Dammerstock;Ka Dammerstock;NE-Hp;;;0080;;20090401;;913576;N;N
